Date,Actual_Log_Price,Predicted_Log_Price,Actual_Price,Predicted_Price,Signal
2025-04-13,-11.808188954146988,-11.986259105404852,7.44335437293716e-06,6.229222044681814e-06,SELL
2025-04-15,-11.824099111945404,-11.855313895282336,7.325866533673406e-06,7.100723375153756e-06,SELL
2025-04-17,-11.848893903638109,-11.733635993665608,7.1464566062916856e-06,8.01948787856194e-06,BUY
2025-04-18,-11.83633034045378,-11.816931824596598,7.236807944339432e-06,7.3785617394608945e-06,HOLD
2025-04-19,-11.827232841213718,-11.78395306891823,7.302945184709917e-06,7.625954454694995e-06,BUY
2025-04-20,-11.798564515522791,-11.833167537601875,7.515338327178193e-06,7.25973277539462e-06,SELL
2025-04-21,-11.798050315863687,-11.783549769707856,7.519203705286954e-06,7.629030616370016e-06,HOLD
2025-04-22,-11.770168787237294,-11.80502194924983,7.731800589504556e-06,7.466964880249372e-06,SELL
2025-04-23,-11.640718613855151,-11.755622711886744,8.800353966218328e-06,7.845089903372072e-06,SELL
2025-04-24,-11.639687894625736,-11.698201716674657,8.809429336552888e-06,8.308747215870974e-06,SELL
2025-04-25,-11.644120357323482,-11.59974342316984,8.770468280132887e-06,9.168439843719195e-06,BUY
2025-04-27,-11.599574264773324,-11.68403497868714,9.169990893484552e-06,8.42729278002319e-06,SELL
2025-04-28,-11.643118950221034,-11.673608729954095,8.77925548841247e-06,8.515617478208005e-06,SELL
2025-04-29,-11.624227246203017,-11.709264154373797,8.946687139579035e-06,8.217338749860991e-06,SELL
2025-05-02,-11.65133696390228,-11.609070755121415,8.707403093064866e-06,9.083320347824848e-06,BUY
2025-05-04,-11.710261037347788,-11.697222781397732,8.209151106508905e-06,8.316884924122603e-06,HOLD
2025-05-05,-11.72508130810436,-11.72392248764668,8.088386357958157e-06,8.097764778442647e-06,HOLD
2025-05-06,-11.743366441569266,-11.790419189289905,7.941833090187719e-06,7.576803195475286e-06,SELL
2025-05-07,-11.735811638396347,-11.70199756854456,8.002059288100956e-06,8.277268224805665e-06,BUY
2025-05-09,-11.408693285644189,-11.757460770469072,1.1098581111114416e-05,7.830683412589037e-06,SELL
2025-05-11,-11.190414343660208,-11.518391212809975,1.380590244746318e-05,9.945491621828008e-06,SELL
2025-05-12,-11.205533269855104,-11.34471845280954,1.3598741995179956e-05,1.1831815182600891e-05,SELL
2025-05-13,-11.20186471803494,-11.245778905842592,1.3648721304668818e-05,1.3062318725064107e-05,SELL
2025-05-14,-11.138521771428396,-11.220159708377343,1.454124052473612e-05,1.3401288373175653e-05,SELL
2025-05-15,-11.183252264400863,-11.132073854324664,1.3905136351394891e-05,1.4635304169621324e-05,BUY
2025-05-16,-11.253266262844422,-11.213659665012656,1.296488170955503e-05,1.3488681049136806e-05,BUY
2025-05-17,-11.276651722391838,-11.258620777257883,1.2665209634319511e-05,1.28956465892162e-05,HOLD
2025-05-18,-11.316282449962966,-11.3239610026677,1.2173094019427548e-05,1.207998022251825e-05,HOLD
2025-05-19,-11.214853918852844,-11.360536196969976,1.347258175523005e-05,1.164613494973121e-05,SELL
2025-05-20,-11.233412736911058,-11.292671520971847,1.3224852453582648e-05,1.2463932044762574e-05,SELL
2025-05-21,-11.240824459587063,-11.205117097450762,1.312719586359902e-05,1.3604402594142964e-05,BUY
2025-05-23,-11.099615017188237,-11.287460457222313,1.5118142924827326e-05,1.252905191375025e-05,SELL
2025-05-24,-11.183297062813804,-11.198108838669302,1.3904513437307518e-05,1.3700080644751584e-05,HOLD
2025-05-25,-11.191013655239516,-11.267364505189356,1.3797630889131549e-05,1.278338208432676e-05,SELL
2025-05-26,-11.21009216489088,-11.25509052492835,1.3536887858193249e-05,1.2941251927440642e-05,SELL
2025-05-27,-11.191014274023903,-11.249260991217746,1.3797622351375613e-05,1.3016913714006107e-05,SELL
2025-05-28,-11.18381798275606,-11.207941160341504,1.3897272185190728e-05,1.3566037104402186e-05,HOLD
2025-05-28,-11.19650559991118,-11.20505826544178,1.3722062761613017e-05,1.3605202992022852e-05,HOLD
